time,open,high,low,close,Volume
2024-10-31T14:30:00+01:00,190.44,190.57,190,190.16,60594
2024-10-31T14:30:30+01:00,190.2,190.25,189.77,190.01,13197
2024-10-31T14:31:00+01:00,190.05,190.45,190,190,11329
2024-10-31T14:31:30+01:00,189.97,190.08,189.69,189.72,9235
2024-10-31T14:32:00+01:00,189.7,189.98,189.34,189.6,18407
2024-10-31T14:32:30+01:00,189.5,189.71,189.35,189.62,12444
2024-10-31T14:33:00+01:00,189.6,189.7,189.36,189.49,33506
2024-10-31T14:33:30+01:00,189.49,189.57,189.15,189.23,14913
2024-10-31T14:34:00+01:00,189.23,189.58,189.23,189.55,15095
2024-10-31T14:34:30+01:00,189.55,189.9,189.46,189.72,12533
2024-10-31T14:35:00+01:00,189.69,190,189.65,189.88,14722
2024-10-31T14:35:30+01:00,189.84,190,189.73,189.95,8987
2024-10-31T14:36:00+01:00,189.95,190.05,189.79,189.82,15628
2024-10-31T14:36:30+01:00,189.81,190.25,189.72,190.25,15883
2024-10-31T14:37:00+01:00,190.2,190.3,190,190.18,10424
2024-10-31T14:37:30+01:00,190.2,190.28,190.1,190.13,6406
2024-10-31T14:38:00+01:00,190.16,190.53,190.13,190.29,17602
2024-10-31T14:38:30+01:00,190.29,190.59,189.9,189.9,10398
2024-10-31T14:39:00+01:00,189.96,190.02,189.75,189.85,8833
2024-10-31T14:39:30+01:00,189.86,190.2,189.86,190.07,9927
2024-10-31T14:40:00+01:00,190.08,190.19,189.93,190.19,9062
2024-10-31T14:40:30+01:00,190.14,190.26,190.05,190.12,5659
2024-10-31T14:41:00+01:00,190.1,190.12,189.89,190.1,9667
2024-10-31T14:41:30+01:00,190.1,190.35,190.1,190.2,5455
2024-10-31T14:42:00+01:00,190.19,190.36,190.05,190.33,7409
2024-10-31T14:42:30+01:00,190.33,190.33,190,190.14,11971
2024-10-31T14:43:00+01:00,190.18,190.27,190.13,190.19,3453
2024-10-31T14:43:30+01:00,190.21,190.21,189.74,189.76,23512
2024-10-31T14:44:00+01:00,189.72,190.04,189.7,190.03,7557
2024-10-31T14:44:30+01:00,190.02,190.1,189.85,190,7926
2024-10-31T14:45:00+01:00,189.95,189.96,189.56,189.71,17823
2024-10-31T14:45:30+01:00,189.68,189.78,189.52,189.67,3743
2024-10-31T14:46:00+01:00,189.62,189.72,189.5,189.55,7206
2024-10-31T14:46:30+01:00,189.55,189.55,189.29,189.33,7416
2024-10-31T14:47:00+01:00,189.29,189.45,189.21,189.34,7423
2024-10-31T14:47:30+01:00,189.35,189.51,189.05,189.06,19422
2024-10-31T14:48:00+01:00,189.03,189.24,189,189.24,14727
2024-10-31T14:48:30+01:00,189.17,189.2,188.93,188.94,9205
2024-10-31T14:49:00+01:00,188.92,188.98,188.85,188.87,10939
2024-10-31T14:49:30+01:00,188.88,189.03,188.85,188.85,14088
2024-10-31T14:50:00+01:00,188.86,188.97,188.65,188.67,13461
2024-10-31T14:50:30+01:00,188.69,188.79,188.58,188.65,10726
2024-10-31T14:51:00+01:00,188.61,188.9,188.58,188.79,13049
2024-10-31T14:51:30+01:00,188.78,188.84,188.67,188.68,4701
2024-10-31T14:52:00+01:00,188.65,188.65,188.43,188.47,23734
2024-10-31T14:52:30+01:00,188.47,188.69,188.47,188.6,11879
2024-10-31T14:53:00+01:00,188.57,188.79,188.57,188.79,12401
2024-10-31T14:53:30+01:00,188.73,188.73,188.42,188.46,57681
2024-10-31T14:54:00+01:00,188.4,188.62,188.16,188.19,24726
2024-10-31T14:54:30+01:00,188.19,188.35,188.14,188.25,13087
2024-10-31T14:55:00+01:00,188.25,188.32,188.02,188.14,14487
2024-10-31T14:55:30+01:00,188.11,188.25,188.04,188.1,7617
2024-10-31T14:56:00+01:00,188.12,188.63,188.12,188.49,26867
2024-10-31T14:56:30+01:00,188.5,188.54,188.25,188.34,6174
2024-10-31T14:57:00+01:00,188.31,188.47,188.26,188.37,5949
2024-10-31T14:57:30+01:00,188.33,188.45,188.28,188.41,8561
2024-10-31T14:58:00+01:00,188.43,188.51,188.36,188.46,3253
2024-10-31T14:58:30+01:00,188.45,188.49,188.38,188.44,6962
2024-10-31T14:59:00+01:00,188.41,188.51,188.16,188.37,17140
2024-10-31T14:59:30+01:00,188.28,188.44,188.2,188.31,3674
2024-10-31T15:00:00+01:00,188.29,188.3,188,188.08,26314
2024-10-31T15:00:30+01:00,188.01,188.07,187.86,188.07,46846
2024-10-31T15:01:00+01:00,188.03,188.17,187.86,187.9,7653
2024-10-31T15:01:30+01:00,187.93,188,187.76,187.8,11896
2024-10-31T15:02:00+01:00,187.81,187.9,187.8,187.8,7887
2024-10-31T15:02:30+01:00,187.81,188.09,187.81,187.96,7108
2024-10-31T15:03:00+01:00,187.93,188.15,187.93,188.02,7987
2024-10-31T15:03:30+01:00,188.05,188.05,187.92,188,12410
2024-10-31T15:04:00+01:00,187.97,188.24,187.94,188.165,7710
2024-10-31T15:04:30+01:00,188.24,188.37,188.18,188.23,5822
2024-10-31T15:05:00+01:00,188.31,188.46,188.3,188.44,5363
2024-10-31T15:05:30+01:00,188.39,188.47,188.29,188.35,2775
2024-10-31T15:06:00+01:00,188.33,188.62,188.33,188.54,3605
2024-10-31T15:06:30+01:00,188.57,188.57,188.43,188.5,3441
2024-10-31T15:07:00+01:00,188.53,188.67,188.52,188.6,3495
2024-10-31T15:07:30+01:00,188.62,188.72,188.54,188.58,5740
2024-10-31T15:08:00+01:00,188.56,188.64,188.52,188.64,2282
2024-10-31T15:08:30+01:00,188.62,188.62,188.31,188.38,11650
2024-10-31T15:09:00+01:00,188.39,188.54,188.36,188.45,2386
2024-10-31T15:09:30+01:00,188.44,188.72,188.44,188.57,26183
2024-10-31T15:10:00+01:00,188.56,188.73,188.55,188.59,2956
2024-10-31T15:10:30+01:00,188.55,188.61,188.34,188.34,3048
2024-10-31T15:11:00+01:00,188.32,188.35,188.02,188.06,6507
2024-10-31T15:11:30+01:00,188.08,188.13,187.93,187.96,9769
2024-10-31T15:12:00+01:00,187.92,188.1,187.87,187.89,5554
2024-10-31T15:12:30+01:00,187.94,187.96,187.88,187.88,4552
