time,open,high,low,close,Volume
2024-10-31T14:30:00+01:00,415.01,416.16,412.02,412.31,116086
2024-10-31T14:30:30+01:00,412.31,413.5,411.56,412.31,34015
2024-10-31T14:31:00+01:00,412.37,413.98,412.01,412.3,23947
2024-10-31T14:31:30+01:00,412.52,413.16,411.51,412.51,36985
2024-10-31T14:32:00+01:00,412.62,412.86,410.63,410.92,38971
2024-10-31T14:32:30+01:00,410.93,411.21,410.08,410.3,28683
2024-10-31T14:33:00+01:00,410.32,410.46,408.24,409.04,89249
2024-10-31T14:33:30+01:00,408.98,409.73,408.61,409.18,32971
2024-10-31T14:34:00+01:00,409.26,410.01,409.25,409.63,28127
2024-10-31T14:34:30+01:00,409.68,410.86,409.4,410.16,30686
2024-10-31T14:35:00+01:00,410.21,411.11,409.93,410.61,34348
2024-10-31T14:35:30+01:00,410.61,410.88,410.04,410.645,37325
2024-10-31T14:36:00+01:00,410.68,411.79,410.52,411.77,21975
2024-10-31T14:36:30+01:00,411.8,412.44,411.62,412.4,28370
2024-10-31T14:37:00+01:00,412.31,414.02,412.2,413.97,26976
2024-10-31T14:37:30+01:00,413.87,414.4,413.42,414.23,40285
2024-10-31T14:38:00+01:00,414.23,414.24,413,413.19,26003
2024-10-31T14:38:30+01:00,413.09,413.32,411.16,411.16,30259
2024-10-31T14:39:00+01:00,411.19,411.28,409.9,410.46,47566
2024-10-31T14:39:30+01:00,410.49,410.72,409.93,410.33,45110
2024-10-31T14:40:00+01:00,410.31,410.86,410.19,410.78,19477
2024-10-31T14:40:30+01:00,410.73,410.77,409.92,410.07,27361
2024-10-31T14:41:00+01:00,410.08,410.47,409.8,410.19,24084
2024-10-31T14:41:30+01:00,410.15,410.46,409.98,409.98,17058
2024-10-31T14:42:00+01:00,410,410.4,409.62,410.22,13912
2024-10-31T14:42:30+01:00,410.26,410.41,410,410.4,10938
2024-10-31T14:43:00+01:00,410.4,411.1,410.33,411.1,15552
2024-10-31T14:43:30+01:00,411.13,411.48,410.25,410.33,16122
2024-10-31T14:44:00+01:00,410.35,411.41,410.35,411.16,8591
2024-10-31T14:44:30+01:00,411.17,411.32,410.8,411.21,11402
2024-10-31T14:45:00+01:00,411.2,411.2,410.55,410.69,15880
2024-10-31T14:45:30+01:00,410.77,411.14,410.37,410.69,13940
2024-10-31T14:46:00+01:00,410.62,410.93,410.46,410.62,6282
2024-10-31T14:46:30+01:00,410.7,410.88,410.34,410.77,12609
2024-10-31T14:47:00+01:00,410.71,410.94,410.04,410.13,17872
2024-10-31T14:47:30+01:00,410.15,410.38,409.35,409.48,43621
2024-10-31T14:48:00+01:00,409.46,409.53,409.2,409.48,13250
2024-10-31T14:48:30+01:00,409.41,409.68,409.26,409.44,6140
2024-10-31T14:49:00+01:00,409.41,409.41,408.68,408.7,47803
2024-10-31T14:49:30+01:00,408.68,409.28,408.68,409.08,7875
2024-10-31T14:50:00+01:00,409.04,409.35,408.92,409.23,12329
2024-10-31T14:50:30+01:00,409.25,409.25,408.88,408.9,9650
2024-10-31T14:51:00+01:00,408.88,409.6,408.86,409.39,6233
2024-10-31T14:51:30+01:00,409.385,409.8,409.385,409.78,5443
2024-10-31T14:52:00+01:00,409.77,410,409.51,409.99,8441
2024-10-31T14:52:30+01:00,410,410.25,409.86,410.18,10898
2024-10-31T14:53:00+01:00,410.14,410.42,410.01,410.32,29261
2024-10-31T14:53:30+01:00,410.325,410.42,410.12,410.21,3993
2024-10-31T14:54:00+01:00,410.2,410.67,410.14,410.48,12390
2024-10-31T14:54:30+01:00,410.48,410.56,410.36,410.46,6737
2024-10-31T14:55:00+01:00,410.46,410.65,410.25,410.54,8774
2024-10-31T14:55:30+01:00,410.45,410.5,410.21,410.45,8357
2024-10-31T14:56:00+01:00,410.44,410.77,410.42,410.66,6698
2024-10-31T14:56:30+01:00,410.655,410.77,410.425,410.65,8259
2024-10-31T14:57:00+01:00,410.65,411.25,410.65,411,11228
2024-10-31T14:57:30+01:00,411,411.14,410.84,410.92,11401
2024-10-31T14:58:00+01:00,410.91,411.14,410.88,411.07,5470
2024-10-31T14:58:30+01:00,411.05,411.065,410.72,410.725,18052
2024-10-31T14:59:00+01:00,410.71,410.935,410.24,410.775,8529
2024-10-31T14:59:30+01:00,410.76,411,410.76,410.87,4309
2024-10-31T15:00:00+01:00,410.82,410.85,410.25,410.46,4603
2024-10-31T15:00:30+01:00,410.45,410.52,410.34,410.52,2600
2024-10-31T15:01:00+01:00,410.45,411.5,410.45,411.15,15523
2024-10-31T15:01:30+01:00,411.24,411.31,410.8,410.97,5338
2024-10-31T15:02:00+01:00,410.97,411.31,410.89,411.06,6927
2024-10-31T15:02:30+01:00,411.12,411.38,411.05,411.35,5672
2024-10-31T15:03:00+01:00,411.37,411.88,411.37,411.84,8613
2024-10-31T15:03:30+01:00,411.8,411.98,411.76,411.92,6314
2024-10-31T15:04:00+01:00,411.9,412.09,411.59,412.06,13503
2024-10-31T15:04:30+01:00,412.06,412.21,411.99,412.14,8530
2024-10-31T15:05:00+01:00,412.16,412.3,412.02,412.3,4405
2024-10-31T15:05:30+01:00,412.235,412.235,411.43,411.45,8042
2024-10-31T15:06:00+01:00,411.42,411.98,411.3,411.95,7262
