time,open,high,low,close,Volume
2024-10-31T14:30:00+01:00,137.6,137.63,137.24,137.35,129055
2024-10-31T14:30:30+01:00,137.36,137.36,136.84,136.841,145462
2024-10-31T14:31:00+01:00,136.84,136.97,136.23,136.26,182769
2024-10-31T14:31:30+01:00,136.25,136.45,135.82,135.84,239976
2024-10-31T14:32:00+01:00,135.87,136.35,135.86,136.32,96005
2024-10-31T14:32:30+01:00,136.35,136.39,136.04,136.04,104749
2024-10-31T14:33:00+01:00,136.03,136.11,135.71,135.77,189591
2024-10-31T14:33:30+01:00,135.76,135.97,135.68,135.7,77152
2024-10-31T14:34:00+01:00,135.69,136.29,135.67,136.15,91960
2024-10-31T14:34:30+01:00,136.12,136.27,136.06,136.09,62429
2024-10-31T14:35:00+01:00,136.1,136.43,135.8,136.18,142004
2024-10-31T14:35:30+01:00,136.17,136.31,135.91,135.94,79882
2024-10-31T14:36:00+01:00,135.93,136.08,135.86,136.02,55323
2024-10-31T14:36:30+01:00,136.02,136.02,135.71,136,102787
2024-10-31T14:37:00+01:00,135.99,136.24,135.94,136.09,52463
2024-10-31T14:37:30+01:00,136.1,136.43,136.1,136.42,81127
2024-10-31T14:38:00+01:00,136.43,136.58,136.24,136.25,92792
2024-10-31T14:38:30+01:00,136.25,136.34,135.82,135.85,109851
2024-10-31T14:39:00+01:00,135.85,135.85,135.4,135.49,184900
2024-10-31T14:39:30+01:00,135.5,135.81,135.49,135.58,52022
2024-10-31T14:40:00+01:00,135.58,135.88,135.49,135.51,81000
2024-10-31T14:40:30+01:00,135.54,135.69,135.38,135.67,77835
2024-10-31T14:41:00+01:00,135.68,135.83,135.54,135.81,34024
2024-10-31T14:41:30+01:00,135.82,135.96,135.59,135.75,61107
2024-10-31T14:42:00+01:00,135.75,135.869,135.68,135.86,32683
2024-10-31T14:42:30+01:00,135.84,135.84,135.52,135.65,57058
2024-10-31T14:43:00+01:00,135.64,135.94,135.61,135.88,36566
2024-10-31T14:43:30+01:00,135.88,135.965,135.8,135.88,34273
2024-10-31T14:44:00+01:00,135.88,136.14,135.84,136.09,70110
2024-10-31T14:44:30+01:00,136.09,136.09,135.69,135.84,35242
2024-10-31T14:45:00+01:00,135.82,135.82,135.4,135.67,139061
2024-10-31T14:45:30+01:00,135.67,135.8,135.5,135.73,58902
2024-10-31T14:46:00+01:00,135.71,135.79,135.66,135.77,52420
