time,open,high,low,close,Volume
2024-10-30T14:30:00+01:00,79.03,79.24,78.68,78.98,10197
2024-10-30T14:30:30+01:00,78.99,79.12,78.92,78.97,2575
2024-10-30T14:31:00+01:00,78.96,79.06,78.66,78.66,5584
2024-10-30T14:31:30+01:00,78.64,78.66,78.45,78.5,4154
2024-10-30T14:32:00+01:00,78.45,78.45,78,78.23,13522
2024-10-30T14:32:30+01:00,78.32,78.8,78.32,78.8,4393
2024-10-30T14:33:00+01:00,78.8,79.01,78.75,78.945,3914
2024-10-30T14:33:30+01:00,78.97,79.06,78.73,78.76,3697
2024-10-30T14:34:00+01:00,78.78,79.1,78.755,78.96,6048
2024-10-30T14:34:30+01:00,78.92,78.92,78.71,78.8,3583
2024-10-30T14:35:00+01:00,78.79,78.84,78.55,78.66,4474
2024-10-30T14:35:30+01:00,78.7,78.88,78.69,78.73,3064
2024-10-30T14:36:00+01:00,78.7,78.7,78.31,78.35,3359
2024-10-30T14:36:30+01:00,78.4,78.605,78.39,78.53,4856
2024-10-30T14:37:00+01:00,78.57,78.66,78.5,78.57,3769
2024-10-30T14:37:30+01:00,78.59,78.9,78.57,78.86,6151
2024-10-30T14:38:00+01:00,78.88,78.99,78.86,78.95,1570
2024-10-30T14:38:30+01:00,78.92,78.95,78.84,78.93,2598
2024-10-30T14:39:00+01:00,78.91,78.91,78.82,78.86,1150
2024-10-30T14:39:30+01:00,78.84,79.03,78.81,79.02,2408
2024-10-30T14:40:00+01:00,79.01,79.01,78.91,78.93,1932
2024-10-30T14:40:30+01:00,78.93,79,78.91,78.99,4410
2024-10-30T14:41:00+01:00,79.01,79.04,78.88,78.88,3187
2024-10-30T14:41:30+01:00,78.88,79,78.79,78.9,3112
2024-10-30T14:42:00+01:00,78.92,79.05,78.86,78.97,5689
2024-10-30T14:42:30+01:00,79.04,79.2,79.04,79.1,4490
2024-10-30T14:43:00+01:00,79.1,79.18,78.87,78.93,6743
2024-10-30T14:43:30+01:00,78.93,78.99,78.87,78.97,2146
2024-10-30T14:44:00+01:00,78.975,79.04,78.86,78.88,4406
2024-10-30T14:44:30+01:00,78.85,78.9,78.73,78.73,4345
2024-10-30T14:45:00+01:00,78.73,78.75,78.41,78.42,8389
2024-10-30T14:45:30+01:00,78.42,78.45,78.25,78.36,6320
