time,open,high,low,close,Volume
2024-10-11T15:30:00+02:00,226.2,226.25,226.11,226.11,328
2024-10-11T15:30:30+02:00,226.18,226.19,226.13,226.13,4
2024-10-11T15:31:00+02:00,226.08,226.11,226.08,226.11,300
2024-10-11T15:31:30+02:00,226.13,226.23,226.13,226.23,403
2024-10-11T15:32:00+02:00,226.28,226.29,226.28,226.29,200
2024-10-11T15:33:30+02:00,226.16,226.18,226.16,226.18,302
2024-10-11T15:34:00+02:00,226.2,226.3,226.2,226.3,119
2024-10-11T15:35:00+02:00,226.14,226.14,226.14,226.14,100
2024-10-11T15:36:00+02:00,226.02,226.03,225.98,225.98,268
2024-10-11T15:36:30+02:00,226.04,226.04,226.04,226.04,100
2024-10-11T15:38:00+02:00,226.04,226.07,226.04,226.07,117
2024-10-11T15:39:00+02:00,225.76,225.78,225.76,225.78,6
2024-10-11T15:39:30+02:00,225.75,225.77,225.75,225.77,115
2024-10-11T15:40:00+02:00,225.67,225.78,225.67,225.78,276
2024-10-11T15:40:30+02:00,225.78,225.78,225.76,225.76,52
2024-10-11T15:41:00+02:00,225.82,225.82,225.82,225.82,208
2024-10-11T15:41:30+02:00,225.85,225.85,225.85,225.85,19
2024-10-11T15:42:00+02:00,225.87,225.89,225.87,225.89,114
2024-10-11T15:42:30+02:00,225.92,226,225.92,226,228
2024-10-11T15:43:00+02:00,226.04,226.1,226.04,226.1,25
2024-10-11T15:43:30+02:00,226.1,226.1,226.1,226.1,9
2024-10-11T15:44:00+02:00,226.19,226.23,226.12,226.12,202
2024-10-11T15:44:30+02:00,226.19,226.24,226.19,226.24,245
2024-10-11T15:45:00+02:00,226.2,226.21,226.2,226.21,152
2024-10-11T15:45:30+02:00,226.26,226.27,226.26,226.27,112
2024-10-11T15:46:00+02:00,226.23,226.35,226.23,226.35,635
2024-10-11T15:46:30+02:00,226.45,226.48,226.45,226.48,101
2024-10-11T15:48:00+02:00,226.3,226.35,226.3,226.35,2
2024-10-11T15:48:30+02:00,226.28,226.31,226.27,226.31,316
2024-10-11T15:49:00+02:00,226.33,226.36,226.33,226.36,23
2024-10-11T15:49:30+02:00,226.3,226.36,226.3,226.36,301
2024-10-11T15:50:00+02:00,226.38,226.45,226.38,226.45,326
2024-10-11T15:50:30+02:00,226.42,226.42,226.42,226.42,1
2024-10-11T15:51:00+02:00,226.42,226.42,226.42,226.42,1
2024-10-11T15:53:00+02:00,226.32,226.43,226.32,226.43,386
2024-10-11T15:54:00+02:00,226.43,226.43,226.43,226.43,118
2024-10-11T15:54:30+02:00,226.44,226.48,226.43,226.48,214
2024-10-11T15:55:00+02:00,226.5,226.51,226.5,226.51,475
2024-10-11T15:56:30+02:00,226.39,226.39,226.39,226.39,100
2024-10-11T15:57:00+02:00,226.3,226.39,226.3,226.39,117
2024-10-11T15:58:30+02:00,226.33,226.33,226.33,226.33,100
2024-10-11T15:59:00+02:00,226.35,226.42,226.34,226.42,538
2024-10-11T15:59:30+02:00,226.39,226.43,226.39,226.43,224
2024-10-11T16:00:00+02:00,226.39,226.39,226.24,226.24,201
2024-10-11T16:00:30+02:00,226.42,226.42,226.39,226.39,163
2024-10-11T16:01:00+02:00,226.38,226.38,226.38,226.38,102
2024-10-11T16:01:30+02:00,226.39,226.41,226.39,226.4,251
2024-10-11T16:02:00+02:00,226.39,226.64,226.39,226.64,801
2024-10-11T16:02:30+02:00,226.52,226.54,226.52,226.52,300
2024-10-11T16:03:30+02:00,226.53,226.53,226.53,226.53,123
2024-10-11T16:04:30+02:00,226.5,226.51,226.48,226.48,631
2024-10-11T16:05:00+02:00,226.46,226.5,226.44,226.5,291
2024-10-11T16:05:30+02:00,226.47,226.53,226.46,226.53,149
2024-10-11T16:06:00+02:00,226.51,226.74,226.51,226.74,575
2024-10-11T16:06:30+02:00,226.75,226.88,226.75,226.86,181
2024-10-11T16:07:00+02:00,226.84,226.94,226.84,226.94,424
2024-10-11T16:07:30+02:00,226.95,226.95,226.95,226.95,115
2024-10-11T16:08:30+02:00,226.92,226.92,226.85,226.85,204
2024-10-11T16:09:00+02:00,226.87,226.96,226.87,226.95,209
2024-10-11T16:09:30+02:00,226.95,227.1,226.95,227.1,275
2024-10-11T16:10:00+02:00,227.12,227.23,227.12,227.23,25
2024-10-11T16:10:30+02:00,227.19,227.19,227.19,227.19,100
2024-10-11T16:11:00+02:00,227.28,227.44,227.28,227.44,170
2024-10-11T16:11:30+02:00,227.43,227.43,227.43,227.43,6
2024-10-11T16:12:00+02:00,227.37,227.45,227.37,227.43,407
2024-10-11T16:13:00+02:00,227.46,227.46,227.46,227.46,1
2024-10-11T16:13:30+02:00,227.54,227.54,227.5,227.5,300
2024-10-11T16:14:00+02:00,227.62,227.62,227.61,227.62,74
2024-10-11T16:14:30+02:00,227.68,227.68,227.56,227.67,284
2024-10-11T16:15:00+02:00,227.66,227.67,227.66,227.67,146
2024-10-11T16:15:30+02:00,227.66,227.66,227.66,227.66,100
2024-10-11T16:16:00+02:00,227.67,227.75,227.67,227.75,405
2024-10-11T16:16:30+02:00,227.75,227.75,227.75,227.75,1
2024-10-11T16:17:00+02:00,227.78,227.78,227.78,227.78,1
2024-10-11T16:17:30+02:00,227.76,227.76,227.73,227.73,108
2024-10-11T16:18:00+02:00,227.77,227.77,227.75,227.77,210
2024-10-11T16:18:30+02:00,227.77,227.79,227.73,227.73,141
2024-10-11T16:19:00+02:00,227.7,227.7,227.66,227.66,211
2024-10-11T16:19:30+02:00,227.7,227.7,227.7,227.7,1
2024-10-11T16:20:00+02:00,227.71,227.77,227.71,227.77,28
2024-10-11T16:20:30+02:00,227.77,227.78,227.72,227.78,136
2024-10-11T16:21:00+02:00,227.78,227.78,227.78,227.78,12
2024-10-11T16:21:30+02:00,227.72,227.82,227.72,227.82,315
2024-10-11T16:22:00+02:00,227.82,227.82,227.76,227.76,17
2024-10-11T16:22:30+02:00,227.78,227.86,227.78,227.86,281
2024-10-11T16:23:00+02:00,227.87,227.87,227.87,227.87,13
2024-10-11T16:23:30+02:00,227.83,227.83,227.83,227.83,5
2024-10-11T16:24:00+02:00,227.78,227.85,227.78,227.85,4
2024-10-11T16:24:30+02:00,227.79,227.79,227.79,227.79,1
2024-10-11T16:25:00+02:00,227.67,227.67,227.67,227.67,100
2024-10-11T16:25:30+02:00,227.68,227.76,227.68,227.76,123
2024-10-11T16:26:00+02:00,227.8,227.82,227.78,227.78,127
2024-10-11T16:27:00+02:00,227.82,227.82,227.78,227.78,200
2024-10-11T16:27:30+02:00,227.67,227.67,227.58,227.58,205
2024-10-11T16:28:00+02:00,227.56,227.56,227.56,227.56,1
2024-10-11T16:28:30+02:00,227.57,227.57,227.515,227.54,117
2024-10-11T16:29:00+02:00,227.57,227.57,227.5,227.5,21
2024-10-11T16:29:30+02:00,227.51,227.51,227.4,227.4,292
2024-10-11T16:30:00+02:00,227.41,227.54,227.41,227.495,128
2024-10-11T16:30:30+02:00,227.46,227.54,227.45,227.54,313
2024-10-11T16:31:00+02:00,227.59,227.59,227.47,227.47,23
2024-10-11T16:31:30+02:00,227.41,227.41,227.38,227.38,315
2024-10-11T16:32:00+02:00,227.43,227.43,227.41,227.43,52
2024-10-11T16:32:30+02:00,227.36,227.36,227.36,227.36,16
2024-10-11T16:33:00+02:00,227.39,227.39,227.39,227.39,100
2024-10-11T16:33:30+02:00,227.41,227.42,227.41,227.42,56
2024-10-11T16:34:00+02:00,227.44,227.44,227.42,227.42,46
2024-10-11T16:35:00+02:00,227.43,227.43,227.43,227.43,1
2024-10-11T16:35:30+02:00,227.43,227.47,227.43,227.47,12
2024-10-11T16:36:00+02:00,227.47,227.47,227.47,227.47,1
2024-10-11T16:36:30+02:00,227.39,227.43,227.38,227.38,67
2024-10-11T16:37:30+02:00,227.34,227.34,227.34,227.34,1
2024-10-11T16:38:00+02:00,227.34,227.37,227.34,227.37,484
2024-10-11T16:38:30+02:00,227.34,227.34,227.34,227.34,100
2024-10-11T16:39:00+02:00,227.32,227.39,227.32,227.39,88
2024-10-11T16:40:00+02:00,227.4,227.4,227.39,227.4,125
2024-10-11T16:40:30+02:00,227.38,227.38,227.38,227.38,100
2024-10-11T16:41:00+02:00,227.4,227.41,227.39,227.39,9
2024-10-11T16:42:00+02:00,227.37,227.37,227.37,227.37,1
2024-10-11T16:42:30+02:00,227.37,227.37,227.33,227.33,10
2024-10-11T16:43:00+02:00,227.33,227.33,227.33,227.33,2
2024-10-11T16:43:30+02:00,227.22,227.38,227.22,227.36,263
2024-10-11T16:44:00+02:00,227.37,227.37,227.37,227.37,2
2024-10-11T16:44:30+02:00,227.36,227.36,227.35,227.35,102
2024-10-11T16:45:00+02:00,227.37,227.4,227.37,227.39,312
2024-10-11T16:45:30+02:00,227.36,227.39,227.36,227.39,107
2024-10-11T16:46:00+02:00,227.41,227.41,227.37,227.37,66
2024-10-11T16:46:30+02:00,227.41,227.42,227.37,227.37,301
2024-10-11T16:47:00+02:00,227.41,227.47,227.41,227.44,102
2024-10-11T16:47:30+02:00,227.38,227.38,227.25,227.25,213
2024-10-11T16:48:00+02:00,227.24,227.24,227.24,227.24,100
2024-10-11T16:49:30+02:00,227.23,227.33,227.23,227.33,239
2024-10-11T16:50:00+02:00,227.34,227.34,227.34,227.34,1
2024-10-11T16:51:00+02:00,227.19,227.19,227.13,227.13,11
2024-10-11T16:51:30+02:00,227.15,227.15,227.15,227.15,5
2024-10-11T16:52:00+02:00,227.15,227.15,227.15,227.15,1
2024-10-11T16:53:00+02:00,227.14,227.14,227.14,227.14,1
