time,open,high,low,close,Volume
2024-10-31T14:30:00+01:00,258.02,259.09,257.97,259,29446
2024-10-31T14:30:30+01:00,259,259.23,258.46,259.05,20003
2024-10-31T14:31:00+01:00,259.07,259.74,259.06,259.23,42179
2024-10-31T14:31:30+01:00,259.2,259.2,258.3,258.41,25496
2024-10-31T14:32:00+01:00,258.53,258.675,257.94,258.31,22628
2024-10-31T14:32:30+01:00,258.33,258.33,257.69,257.83,13591
2024-10-31T14:33:00+01:00,257.8,258.05,257.26,257.43,18842
2024-10-31T14:33:30+01:00,257.43,257.57,256.56,256.69,26366
2024-10-31T14:34:00+01:00,256.64,257.79,256.58,257.68,21846
2024-10-31T14:34:30+01:00,257.61,258.2,257.58,258.05,18389
2024-10-31T14:35:00+01:00,258.14,258.26,257.56,257.89,17225
2024-10-31T14:35:30+01:00,257.86,258.12,257.36,257.47,19131
2024-10-31T14:36:00+01:00,257.49,257.7,257.15,257.37,8787
2024-10-31T14:36:30+01:00,257.35,257.35,256.75,257.23,31632
2024-10-31T14:37:00+01:00,257.23,257.39,256.821,257,20309
2024-10-31T14:37:30+01:00,257.01,257.23,256.84,256.93,10089
2024-10-31T14:38:00+01:00,256.9,256.96,256.39,256.81,45752
2024-10-31T14:38:30+01:00,256.73,256.99,256.23,256.23,20502
2024-10-31T14:39:00+01:00,256.26,256.62,256.06,256.59,19509
2024-10-31T14:39:30+01:00,256.69,256.92,256.56,256.61,16662
2024-10-31T14:40:00+01:00,256.55,257.3,256.45,257.2,48820
2024-10-31T14:40:30+01:00,257.19,257.21,256.69,256.86,12460
2024-10-31T14:41:00+01:00,256.78,257.12,256.77,256.94,12691
2024-10-31T14:41:30+01:00,256.98,257.23,256.88,257.09,12733
2024-10-31T14:42:00+01:00,257.09,257.09,256.56,256.82,12283
2024-10-31T14:42:30+01:00,256.87,257.01,256.53,256.99,6737
2024-10-31T14:43:00+01:00,257.02,257.55,256.96,257.37,20738
2024-10-31T14:43:30+01:00,257.41,257.59,257.15,257.48,16443
2024-10-31T14:44:00+01:00,257.55,258.28,257.38,258.24,34035
2024-10-31T14:44:30+01:00,258.24,258.24,257.97,258.1,20315
2024-10-31T14:45:00+01:00,258.14,258.22,257.4,257.54,21220
2024-10-31T14:45:30+01:00,257.6,257.73,257.21,257.21,9235
2024-10-31T14:46:00+01:00,257.2,257.2,256.32,256.5,47936
2024-10-31T14:46:30+01:00,256.48,256.62,255.91,256.19,63380
2024-10-31T14:47:00+01:00,256.18,256.63,256,256.55,12449
2024-10-31T14:47:30+01:00,256.56,256.75,256.41,256.41,7779
2024-10-31T14:48:00+01:00,256.36,256.45,255.74,256.12,41938
2024-10-31T14:48:30+01:00,256.11,256.11,255.42,255.62,47587
2024-10-31T14:49:00+01:00,255.62,255.77,254.68,254.86,156656
2024-10-31T14:49:30+01:00,254.87,254.94,254.61,254.76,24751
2024-10-31T14:50:00+01:00,254.76,255.25,254.61,254.75,29640
2024-10-31T14:50:30+01:00,254.71,254.74,254.26,254.28,35536
2024-10-31T14:51:00+01:00,254.3,254.58,253.85,253.86,51341
2024-10-31T14:51:30+01:00,253.87,254.16,253.56,253.61,29117
2024-10-31T14:52:00+01:00,253.6,253.87,253.23,253.51,36641
2024-10-31T14:52:30+01:00,253.525,253.76,253.39,253.74,15099
2024-10-31T14:53:00+01:00,253.66,254.14,253.56,253.93,25527
2024-10-31T14:53:30+01:00,253.92,253.94,253.71,253.81,12692
2024-10-31T14:54:00+01:00,253.72,254.22,253.7,254.13,13576
2024-10-31T14:54:30+01:00,254.16,254.4,253.98,254.27,15671
2024-10-31T14:55:00+01:00,254.23,254.48,253.98,254.47,27284
2024-10-31T14:55:30+01:00,254.43,254.45,254.04,254.24,5359
2024-10-31T14:56:00+01:00,254.2,254.3,253.97,254,21446
2024-10-31T14:56:30+01:00,253.96,254.26,253.81,254.16,15552
2024-10-31T14:57:00+01:00,254.16,254.58,254.01,254.2,20864
2024-10-31T14:57:30+01:00,254.16,254.36,253.88,253.92,8654
2024-10-31T14:58:00+01:00,253.88,254.01,253.39,253.39,23094
2024-10-31T14:58:30+01:00,253.38,253.47,252.94,252.94,46974
2024-10-31T14:59:00+01:00,252.95,253.31,252.69,253.23,21853
2024-10-31T14:59:30+01:00,253.16,253.5,253.07,253.16,7614
2024-10-31T15:00:00+01:00,253.15,253.3,252.81,252.81,20524
2024-10-31T15:00:30+01:00,252.8,253.24,252.79,253.12,8797
2024-10-31T15:01:00+01:00,253.12,253.305,252.84,252.98,18520
2024-10-31T15:01:30+01:00,253,253.16,252.87,253.11,15342
2024-10-31T15:02:00+01:00,253.09,253.36,252.93,252.97,14792
2024-10-31T15:02:30+01:00,253,253.33,253,253.32,13939
2024-10-31T15:03:00+01:00,253.34,253.4,253.08,253.27,15990
2024-10-31T15:03:30+01:00,253.31,253.44,252.8,252.81,26531
2024-10-31T15:04:00+01:00,252.82,253.88,252.69,253.76,25554
2024-10-31T15:04:30+01:00,253.77,254.05,253.65,254.01,17859
2024-10-31T15:05:00+01:00,253.99,254.04,253.69,253.92,12226
2024-10-31T15:05:30+01:00,254,254.06,253.87,254,8875
2024-10-31T15:06:00+01:00,254.03,254.37,253.95,254.21,21589
2024-10-31T15:06:30+01:00,254.22,254.24,253.9,254.11,17929
2024-10-31T15:07:00+01:00,254.12,254.52,254.07,254.49,12134
2024-10-31T15:07:30+01:00,254.46,254.77,254.24,254.24,29943
2024-10-31T15:08:00+01:00,254.29,254.79,254.2,254.78,11815
2024-10-31T15:08:30+01:00,254.75,254.88,254.6,254.81,12375
2024-10-31T15:09:00+01:00,254.84,254.88,254.37,254.37,61196
2024-10-31T15:09:30+01:00,254.41,254.43,253.99,254.2,13648
2024-10-31T15:10:00+01:00,254.26,254.4,254.21,254.27,7195
2024-10-31T15:10:30+01:00,254.29,254.62,254.29,254.33,6290
2024-10-31T15:11:00+01:00,254.3,254.69,254.29,254.3,11225
2024-10-31T15:11:30+01:00,254.37,254.6,253.98,254.01,28078
2024-10-31T15:12:00+01:00,254.09,254.34,253.8,253.88,14062
2024-10-31T15:12:30+01:00,253.79,254.01,253.46,253.54,16822
2024-10-31T15:13:00+01:00,253.5,253.91,253.49,253.71,10725
2024-10-31T15:13:30+01:00,253.65,254.15,253.61,253.99,11586
2024-10-31T15:14:00+01:00,254,254.47,254,254.05,10026
2024-10-31T15:14:30+01:00,254.06,254.23,253.84,253.84,13555
2024-10-31T15:15:00+01:00,253.83,254.7,253.82,254.53,76025
2024-10-31T15:15:30+01:00,254.57,254.64,254.17,254.55,6310
2024-10-31T15:16:00+01:00,254.53,255,254.39,254.92,34479
2024-10-31T15:16:30+01:00,254.81,255.13,254.68,255.02,12158
2024-10-31T15:17:00+01:00,255.08,255.49,255.08,255.2,41106
2024-10-31T15:17:30+01:00,255.17,255.54,255.08,255.44,9777
2024-10-31T15:18:00+01:00,255.44,255.49,255.14,255.23,9503
2024-10-31T15:18:30+01:00,255.18,255.4,255.11,255.38,8788
2024-10-31T15:19:00+01:00,255.33,255.58,255.22,255.43,16589
2024-10-31T15:19:30+01:00,255.42,255.49,255.2,255.2,6310
2024-10-31T15:20:00+01:00,255.2,255.2,254.79,254.94,15208
2024-10-31T15:20:30+01:00,254.92,255.37,254.85,255.21,7430
2024-10-31T15:21:00+01:00,255.23,255.54,255.2,255.51,14148
2024-10-31T15:21:30+01:00,255.5,255.52,255.4,255.52,8234
2024-10-31T15:22:00+01:00,255.52,255.8,255.52,255.78,17623
2024-10-31T15:22:30+01:00,255.79,255.79,255.62,255.76,11672
2024-10-31T15:23:00+01:00,255.75,255.89,255.68,255.75,9277
2024-10-31T15:23:30+01:00,255.76,255.88,255.61,255.75,6610
2024-10-31T15:24:00+01:00,255.75,255.79,255.47,255.74,7630
2024-10-31T15:24:30+01:00,255.74,255.92,255.68,255.88,10407
2024-10-31T15:25:00+01:00,255.86,256.09,255.75,256.07,25261
2024-10-31T15:25:30+01:00,256.08,256.14,255.83,255.89,15102
2024-10-31T15:26:00+01:00,255.91,256.04,255.62,255.65,6455
2024-10-31T15:26:30+01:00,255.72,255.76,255.41,255.58,13780
2024-10-31T15:27:00+01:00,255.57,255.58,255.23,255.23,8461
2024-10-31T15:27:30+01:00,255.22,255.26,255,255.1,7217
2024-10-31T15:28:00+01:00,255.08,255.55,255.08,255.52,10404
2024-10-31T15:28:30+01:00,255.57,255.72,255.13,255.13,9657
2024-10-31T15:29:00+01:00,255.12,255.12,254.48,254.68,30786
2024-10-31T15:29:30+01:00,254.65,254.71,254.51,254.56,5342
2024-10-31T15:30:00+01:00,254.58,254.61,254.2,254.29,13558
2024-10-31T15:30:30+01:00,254.29,254.42,254.17,254.28,5134
2024-10-31T15:31:00+01:00,254.27,254.85,254.25,254.81,8713
2024-10-31T15:31:30+01:00,254.82,255,254.76,254.78,18771
2024-10-31T15:32:00+01:00,254.8,255.22,254.77,255.01,11880
2024-10-31T15:32:30+01:00,255.04,255.22,254.85,255.2,7632
2024-10-31T15:33:00+01:00,255.16,255.37,254.99,254.99,22755
2024-10-31T15:33:30+01:00,254.9,255.01,254.79,255.01,13310
2024-10-31T15:34:00+01:00,255.02,255.19,254.59,254.6,9435
2024-10-31T15:34:30+01:00,254.65,254.69,254.51,254.53,1711
2024-10-31T15:35:00+01:00,254.59,254.66,254.2,254.35,7523
2024-10-31T15:35:30+01:00,254.35,254.39,254.24,254.25,6248
2024-10-31T15:36:00+01:00,254.23,254.62,254.15,254.55,7448
2024-10-31T15:36:30+01:00,254.63,254.7,254.49,254.6,3615
2024-10-31T15:37:00+01:00,254.61,254.7,254.31,254.43,6938
2024-10-31T15:37:30+01:00,254.44,254.55,254.16,254.24,5927
2024-10-31T15:38:00+01:00,254.24,254.24,253.4,253.4,74082
2024-10-31T15:38:30+01:00,253.39,253.59,253.25,253.25,17718
2024-10-31T15:39:00+01:00,253.32,253.65,253.1,253.65,11681
2024-10-31T15:39:30+01:00,253.65,253.82,253.57,253.82,6848
2024-10-31T15:40:00+01:00,253.8,254.14,253.78,254.13,7375
