time,open,high,low,close,Volume
2024-05-09T09:04:00+02:00,59.56,59.62,59.5,59.62,79
2024-05-09T09:28:00+02:00,59.42,59.45,59.4,59.45,1717
2024-05-09T09:28:30+02:00,59.44,59.45,59.38,59.45,980
2024-05-09T09:29:00+02:00,59.34,59.34,59.34,59.34,196
2024-05-09T09:29:30+02:00,59.35,59.35,59.35,59.35,5
2024-05-09T09:30:30+02:00,59.35,59.35,59.35,59.35,45
2024-05-09T09:32:30+02:00,59.38,59.38,59.38,59.38,5
2024-05-09T09:36:00+02:00,59.38,59.38,59.38,59.38,22
2024-05-09T09:41:00+02:00,59.38,59.38,59.38,59.38,5
2024-05-09T09:41:30+02:00,59.38,59.38,59.38,59.38,119
2024-05-09T09:46:00+02:00,59.35,59.35,59.35,59.35,37
2024-05-09T09:47:30+02:00,59.38,59.38,59.38,59.38,5
2024-05-09T09:50:30+02:00,59.35,59.35,59.35,59.35,100
2024-05-09T09:52:00+02:00,59.35,59.35,59.35,59.35,230
2024-05-09T10:00:00+02:00,59.38,59.38,59.38,59.38,352
2024-05-09T10:04:30+02:00,59.34,59.34,59.33,59.33,400
2024-05-09T10:08:30+02:00,59.4,59.4,59.4,59.4,400
2024-05-09T10:16:00+02:00,59.4,59.4,59.4,59.4,8
2024-05-09T10:22:00+02:00,59.37,59.37,59.37,59.37,81
2024-05-09T10:26:00+02:00,59.36,59.36,59.36,59.36,75
2024-05-09T10:29:30+02:00,59.37,59.37,59.37,59.37,4
2024-05-09T10:34:00+02:00,59.36,59.36,59.36,59.36,50
2024-05-09T10:39:30+02:00,59.32,59.32,59.31,59.31,725
2024-05-09T10:41:00+02:00,59.33,59.33,59.33,59.33,20
2024-05-09T10:53:30+02:00,59.31,59.37,59.31,59.37,99
2024-05-09T11:18:30+02:00,59.32,59.32,59.26,59.26,88
2024-05-09T11:22:30+02:00,59.35,59.38,59.35,59.38,550
2024-05-09T11:29:30+02:00,59.37,59.37,59.37,59.37,14
2024-05-09T11:39:30+02:00,59.37,59.37,59.37,59.37,30
2024-05-09T11:43:30+02:00,59.37,59.38,59.37,59.38,85
2024-05-09T12:04:30+02:00,59.3,59.3,59.3,59.3,500
2024-05-09T12:05:00+02:00,59.3,59.3,59.3,59.3,130
2024-05-09T12:05:30+02:00,59.29,59.29,59.29,59.29,105
2024-05-09T12:24:00+02:00,59.24,59.24,59.24,59.24,10
2024-05-09T12:29:30+02:00,59.24,59.24,59.24,59.24,30
2024-05-09T12:31:00+02:00,59.3,59.3,59.3,59.3,30
2024-05-09T12:43:00+02:00,59.3,59.3,59.3,59.3,11
2024-05-09T12:44:30+02:00,59.3,59.3,59.3,59.3,2
2024-05-09T12:52:00+02:00,59.24,59.24,59.24,59.24,210
2024-05-09T12:58:00+02:00,59.23,59.23,59.23,59.23,150
2024-05-09T12:59:30+02:00,59.27,59.27,59.27,59.27,4
2024-05-09T13:04:00+02:00,59.29,59.3,59.29,59.3,210
2024-05-09T13:05:00+02:00,59.3,59.3,59.3,59.3,212
2024-05-09T13:13:00+02:00,59.25,59.25,59.25,59.25,23
2024-05-09T13:17:00+02:00,59.34,59.34,59.34,59.34,11
2024-05-09T13:18:30+02:00,59.26,59.26,59.26,59.26,20
2024-05-09T13:30:30+02:00,59.27,59.27,59.27,59.27,12
2024-05-09T13:35:30+02:00,59.35,59.35,59.35,59.35,12
2024-05-09T13:40:00+02:00,59.36,59.36,59.36,59.36,170
2024-05-09T13:54:30+02:00,59.33,59.33,59.33,59.33,2
2024-05-09T13:59:30+02:00,59.34,59.34,59.34,59.34,6
2024-05-09T14:00:00+02:00,59.31,59.31,59.31,59.31,83
2024-05-09T14:01:00+02:00,59.26,59.26,59.26,59.26,4
2024-05-09T14:06:30+02:00,59.23,59.23,59.22,59.22,300
2024-05-09T14:12:00+02:00,59.3,59.3,59.3,59.3,25
2024-05-09T14:16:30+02:00,59.3,59.3,59.3,59.3,190
2024-05-09T14:18:00+02:00,59.27,59.27,59.27,59.27,20
2024-05-09T14:21:00+02:00,59.27,59.27,59.27,59.27,43
2024-05-09T14:32:00+02:00,59.3,59.3,59.3,59.3,258
2024-05-09T14:32:30+02:00,59.3,59.3,59.3,59.3,246
2024-05-09T14:36:00+02:00,59.3,59.3,59.29,59.29,478
2024-05-09T14:37:00+02:00,59.26,59.26,59.26,59.26,66
2024-05-09T14:44:30+02:00,59.3,59.32,59.3,59.32,200
2024-05-09T14:46:00+02:00,59.29,59.29,59.29,59.29,78
2024-05-09T14:55:30+02:00,59.3,59.3,59.3,59.3,287
2024-05-09T14:59:30+02:00,59.35,59.35,59.35,59.35,165
2024-05-09T15:15:00+02:00,59.42,59.42,59.42,59.42,65
2024-05-09T15:16:00+02:00,59.42,59.42,59.42,59.42,4
2024-05-09T15:17:00+02:00,59.41,59.41,59.41,59.41,78
2024-05-09T15:17:30+02:00,59.39,59.39,59.39,59.39,93
2024-05-09T15:30:00+02:00,59.4,59.45,59.4,59.45,170
2024-05-09T15:30:30+02:00,59.49,59.5,59.49,59.5,287
2024-05-09T15:39:30+02:00,59.29,59.29,59.29,59.29,10
2024-05-09T15:40:00+02:00,59.21,59.21,59.21,59.21,10
2024-05-09T15:41:00+02:00,59.29,59.29,59.29,59.29,10
2024-05-09T15:42:00+02:00,59.23,59.23,59.23,59.23,10
2024-05-09T15:42:30+02:00,59.24,59.24,59.24,59.24,44
2024-05-09T15:45:30+02:00,59.15,59.18,59.15,59.18,21
2024-05-09T15:46:30+02:00,59.22,59.22,59.22,59.22,4
2024-05-09T15:49:00+02:00,59.18,59.18,59.18,59.18,359
2024-05-09T15:50:00+02:00,59.21,59.21,59.21,59.21,75
2024-05-09T15:50:30+02:00,59.27,59.27,59.27,59.27,92
2024-05-09T15:53:30+02:00,59,59,58.96,58.96,256
2024-05-09T16:03:00+02:00,58.99,58.99,58.99,58.99,62
2024-05-09T16:03:30+02:00,58.91,58.91,58.91,58.91,10
2024-05-09T16:05:00+02:00,59.02,59.02,59.02,59.02,75
2024-05-09T16:08:00+02:00,58.99,58.99,58.99,58.99,84
2024-05-09T16:08:30+02:00,59,59,59,59,30
2024-05-09T16:13:00+02:00,59.23,59.23,59.23,59.23,75
2024-05-09T16:20:30+02:00,59.08,59.08,59.08,59.08,4
