time,open,high,low,close,Volume
2024-10-21T09:04:00+02:00,127.46,127.46,127.34,127.34,7655
2024-10-21T09:04:30+02:00,127.36,127.36,127.34,127.34,7
2024-10-21T09:05:00+02:00,127.4,127.42,127.32,127.36,854
2024-10-21T09:05:30+02:00,127.36,127.36,127.28,127.32,624
2024-10-21T09:06:00+02:00,127.38,127.48,127.36,127.48,553
2024-10-21T09:06:30+02:00,127.3,127.38,127.3,127.38,19
2024-10-21T09:07:00+02:00,127.38,127.48,127.38,127.48,206
2024-10-21T09:07:30+02:00,127.4,127.52,127.4,127.52,341
2024-10-21T09:08:00+02:00,127.44,127.44,127.42,127.42,139
2024-10-21T09:09:00+02:00,127.46,127.52,127.42,127.52,1716
2024-10-21T09:09:30+02:00,127.42,127.42,127.4,127.4,97
2024-10-21T09:10:00+02:00,127.44,127.44,127.44,127.44,96
2024-10-21T09:10:30+02:00,127.42,127.42,127.42,127.42,440
2024-10-21T09:11:00+02:00,127.36,127.36,127.34,127.34,375
2024-10-21T09:11:30+02:00,127.36,127.36,127.32,127.34,257
2024-10-21T09:12:00+02:00,127.36,127.4,127.36,127.4,369
2024-10-21T09:13:00+02:00,127.38,127.4,127.34,127.4,410
2024-10-21T09:13:30+02:00,127.4,127.4,127.4,127.4,85
2024-10-21T09:14:00+02:00,127.34,127.34,127.34,127.34,91
2024-10-21T09:14:30+02:00,127.38,127.38,127.38,127.38,6
2024-10-21T09:15:00+02:00,127.38,127.38,127.36,127.36,150
2024-10-21T09:15:30+02:00,127.38,127.38,127.32,127.32,130
2024-10-21T09:16:00+02:00,127.34,127.36,127.34,127.36,173
2024-10-21T09:16:30+02:00,127.36,127.36,127.3,127.3,25
2024-10-21T09:17:30+02:00,127.36,127.38,127.34,127.34,143
2024-10-21T09:18:00+02:00,127.36,127.4,127.36,127.4,227
2024-10-21T09:18:30+02:00,127.36,127.36,127.3,127.3,1708
2024-10-21T09:19:00+02:00,127.32,127.32,127.32,127.32,4
2024-10-21T09:19:30+02:00,127.28,127.28,127.28,127.28,323
2024-10-21T09:20:00+02:00,127.26,127.26,127.26,127.26,320
2024-10-21T09:20:30+02:00,127.28,127.3,127.26,127.3,848
2024-10-21T09:21:00+02:00,127.3,127.34,127.3,127.34,345
2024-10-21T09:21:30+02:00,127.38,127.4,127.38,127.4,494
2024-10-21T09:22:00+02:00,127.4,127.46,127.4,127.46,258
2024-10-21T09:22:30+02:00,127.5,127.56,127.5,127.56,1137
2024-10-21T09:23:00+02:00,127.56,127.56,127.56,127.56,8
2024-10-21T09:23:30+02:00,127.54,127.56,127.54,127.56,308
2024-10-21T09:24:30+02:00,127.6,127.62,127.6,127.62,80
2024-10-21T09:25:30+02:00,127.54,127.54,127.54,127.54,321
2024-10-21T09:26:00+02:00,127.52,127.52,127.52,127.52,1548
2024-10-21T09:27:00+02:00,127.46,127.46,127.42,127.42,58
2024-10-21T09:28:30+02:00,127.46,127.48,127.38,127.38,2942
2024-10-21T09:29:00+02:00,127.46,127.48,127.44,127.44,503
2024-10-21T09:29:30+02:00,127.42,127.42,127.42,127.42,25
2024-10-21T09:30:30+02:00,127.48,127.48,127.48,127.48,157
2024-10-21T09:31:00+02:00,127.5,127.5,127.5,127.5,40
2024-10-21T09:31:30+02:00,127.5,127.6,127.5,127.5,5601
2024-10-21T09:32:00+02:00,127.56,127.56,127.54,127.54,305
2024-10-21T09:32:30+02:00,127.58,127.58,127.54,127.54,107
2024-10-21T09:33:30+02:00,127.54,127.54,127.42,127.46,524
2024-10-21T09:34:00+02:00,127.48,127.5,127.48,127.5,127
2024-10-21T09:34:30+02:00,127.56,127.56,127.56,127.56,105
2024-10-21T09:35:00+02:00,127.56,127.56,127.56,127.56,21
2024-10-21T09:35:30+02:00,127.58,127.58,127.5,127.5,983
2024-10-21T09:36:30+02:00,127.56,127.56,127.56,127.56,3
2024-10-21T09:37:00+02:00,127.54,127.54,127.54,127.54,50
2024-10-21T09:38:00+02:00,127.54,127.58,127.54,127.58,603
2024-10-21T09:39:00+02:00,127.56,127.56,127.56,127.56,359
2024-10-21T09:39:30+02:00,127.58,127.58,127.58,127.58,630
2024-10-21T09:40:00+02:00,127.6,127.6,127.6,127.6,352
2024-10-21T09:40:30+02:00,127.6,127.64,127.6,127.6,671
2024-10-21T09:41:00+02:00,127.66,127.66,127.64,127.64,95
2024-10-21T09:41:30+02:00,127.64,127.64,127.64,127.64,121
2024-10-21T09:42:30+02:00,127.66,127.68,127.66,127.66,1305
2024-10-21T09:43:00+02:00,127.66,127.66,127.66,127.66,71
2024-10-21T09:43:30+02:00,127.66,127.66,127.66,127.66,26
2024-10-21T09:44:00+02:00,127.7,127.7,127.7,127.7,76
2024-10-21T09:47:00+02:00,127.7,127.74,127.68,127.72,473
2024-10-21T09:47:30+02:00,127.7,127.7,127.7,127.7,383
2024-10-21T09:48:30+02:00,127.68,127.68,127.68,127.68,358
2024-10-21T09:49:00+02:00,127.68,127.68,127.68,127.68,300
2024-10-21T09:49:30+02:00,127.72,127.72,127.72,127.72,4
2024-10-21T09:50:00+02:00,127.68,127.68,127.68,127.68,323
2024-10-21T09:52:30+02:00,127.66,127.66,127.66,127.66,80
2024-10-21T09:53:00+02:00,127.64,127.64,127.58,127.6,76
2024-10-21T09:53:30+02:00,127.58,127.58,127.58,127.58,15
2024-10-21T09:54:30+02:00,127.62,127.62,127.62,127.62,100
2024-10-21T09:55:30+02:00,127.6,127.6,127.56,127.56,254
2024-10-21T09:56:30+02:00,127.56,127.56,127.56,127.56,35
2024-10-21T09:57:00+02:00,127.56,127.56,127.56,127.56,8
2024-10-21T09:57:30+02:00,127.56,127.56,127.56,127.56,2
2024-10-21T09:58:00+02:00,127.52,127.52,127.52,127.52,3
2024-10-21T09:58:30+02:00,127.5,127.5,127.5,127.5,32
2024-10-21T09:59:00+02:00,127.54,127.54,127.54,127.54,20
2024-10-21T09:59:30+02:00,127.52,127.54,127.52,127.54,607
2024-10-21T10:00:00+02:00,127.52,127.52,127.48,127.48,112
2024-10-21T10:00:30+02:00,127.52,127.6,127.52,127.6,551
2024-10-21T10:01:00+02:00,127.8,127.8,127.8,127.8,100
2024-10-21T10:01:30+02:00,127.88,127.88,127.88,127.88,100
2024-10-21T10:02:00+02:00,127.9,127.92,127.9,127.92,708
2024-10-21T10:02:30+02:00,127.84,127.84,127.84,127.84,28
2024-10-21T10:03:00+02:00,127.9,127.92,127.88,127.92,130
2024-10-21T10:04:00+02:00,127.88,127.88,127.74,127.74,20
